length,gc_content,au_content,actual,predicted,probability
21,0.6666666666666666,0.3333333333333333,1,1,0.5582142857142857
22,0.3181818181818182,0.6818181818181818,1,0,0.29433774558774545
21,0.6666666666666666,0.3333333333333333,0,1,0.5582142857142857
22,0.3181818181818182,0.6818181818181818,0,0,0.29433774558774545
25,0.64,0.36,1,0,0.24187301587301577
20,0.55,0.45,1,0,0.47498715092097443
22,0.5,0.5,0,0,0.45158079002965595
17,0.5882352941176471,0.4117647058823529,0,0,0.42070238095238094
23,0.6521739130434783,0.3478260869565217,1,0,0.34311327561327554
22,0.3636363636363636,0.6363636363636364,1,0,0.3736089830346303
23,0.6086956521739131,0.391304347826087,1,1,0.5653668831168832
19,0.5263157894736842,0.4736842105263157,0,0,0.37146389721389717
22,0.5,0.5,1,0,0.45158079002965595
22,0.4545454545454545,0.5454545454545454,0,1,0.5143740079198857
19,0.4736842105263157,0.5263157894736842,0,1,0.6091251803751802
22,0.5909090909090909,0.4090909090909091,1,1,0.6273244043538161
18,0.7222222222222222,0.2777777777777778,0,1,0.6830714285714283
21,0.5238095238095238,0.4761904761904761,1,0,0.4999156781657792
22,0.4090909090909091,0.5909090909090909,1,0,0.39163511570129217
21,0.4761904761904761,0.5238095238095238,1,0,0.25420634920634916
19,0.631578947368421,0.3684210526315789,0,0,0.33790476190476193
21,0.3809523809523809,0.6190476190476191,0,0,0.18019444444444438
22,0.5454545454545454,0.4545454545454545,1,0,0.46893594546895806
24,0.4166666666666667,0.5833333333333334,0,0,0.3652142857142856
19,0.5263157894736842,0.4736842105263157,0,0,0.37146389721389717
20,0.6,0.4,1,1,0.6487301587301587
17,0.7647058823529411,0.2352941176470588,0,1,0.6643333333333332
21,0.7142857142857143,0.2857142857142857,1,0,0.47111904761904744
21,0.7142857142857143,0.2857142857142857,1,0,0.47111904761904744
18,0.3888888888888889,0.6111111111111112,0,0,0.3370238095238095
22,0.5454545454545454,0.4545454545454545,1,0,0.46893594546895806
18,0.3888888888888889,0.6111111111111112,0,0,0.3370238095238095
23,0.6521739130434783,0.3478260869565217,0,0,0.34311327561327554
22,0.4090909090909091,0.5909090909090909,0,0,0.39163511570129217
21,0.3809523809523809,0.6190476190476191,1,0,0.18019444444444438
22,0.5454545454545454,0.4545454545454545,1,0,0.46893594546895806
20,0.75,0.25,0,0,0.35892470111587743
21,0.5238095238095238,0.4761904761904761,0,0,0.4999156781657792
21,0.5714285714285714,0.4285714285714285,1,0,0.11538601104777571
23,0.4782608695652174,0.5217391304347826,0,0,0.40869099691158506
22,0.6363636363636364,0.3636363636363636,1,0,0.3280258001802118
22,0.5454545454545454,0.4545454545454545,1,0,0.46893594546895806
24,0.6666666666666666,0.3333333333333333,0,1,0.8093015873015872
23,0.6086956521739131,0.391304347826087,0,1,0.5653668831168832
25,0.52,0.48,0,1,0.8423253968253968
21,0.7142857142857143,0.2857142857142857,0,0,0.47111904761904744
23,0.6086956521739131,0.391304347826087,1,1,0.5653668831168832
21,0.4761904761904761,0.5238095238095238,0,0,0.25420634920634916
22,0.6363636363636364,0.3636363636363636,1,0,0.3280258001802118
23,0.4782608695652174,0.5217391304347826,0,0,0.40869099691158506
18,0.6666666666666666,0.3333333333333333,0,0,0.09541666666666666
21,0.4285714285714285,0.5714285714285714,1,0,0.46732359307359317
19,0.4736842105263157,0.5263157894736842,0,1,0.6091251803751802
23,0.6086956521739131,0.391304347826087,1,1,0.5653668831168832
21,0.6190476190476191,0.3809523809523809,0,1,0.9288690476190474
22,0.4545454545454545,0.5454545454545454,0,1,0.5143740079198857
20,0.5,0.5,0,1,0.7557261904761903
17,0.8823529411764706,0.1176470588235294,0,0,0.43633333333333324
23,0.6521739130434783,0.3478260869565217,1,0,0.34311327561327554
22,0.6363636363636364,0.3636363636363636,0,0,0.3280258001802118
22,0.4545454545454545,0.5454545454545454,1,1,0.5143740079198857
20,0.6,0.4,0,1,0.6487301587301587
17,0.6470588235294118,0.3529411764705882,1,1,0.6146904761904762
20,0.35,0.65,0,0,0.4499669365721997
22,0.4545454545454545,0.5454545454545454,0,1,0.5143740079198857
20,0.7,0.3,1,0,0.4328161895294248
19,0.631578947368421,0.3684210526315789,1,0,0.33790476190476193
18,0.3888888888888889,0.6111111111111112,1,0,0.3370238095238095
17,0.4705882352941176,0.5294117647058824,0,1,0.5865436785436784
22,0.5454545454545454,0.4545454545454545,1,0,0.46893594546895806
23,0.782608695652174,0.217391304347826,1,0,0.09616666666666668
21,0.5714285714285714,0.4285714285714285,1,0,0.11538601104777571
22,0.4545454545454545,0.5454545454545454,1,1,0.5143740079198857
17,0.5882352941176471,0.4117647058823529,1,0,0.42070238095238094
18,0.8888888888888888,0.1111111111111111,0,0,0.3137619047619047
23,0.6086956521739131,0.391304347826087,0,1,0.5653668831168832
22,0.3181818181818182,0.6818181818181818,1,0,0.29433774558774545
21,0.4761904761904761,0.5238095238095238,0,0,0.25420634920634916
22,0.4545454545454545,0.5454545454545454,1,1,0.5143740079198857
21,0.4761904761904761,0.5238095238095238,0,0,0.25420634920634916
22,0.4090909090909091,0.5909090909090909,0,0,0.39163511570129217
21,0.5714285714285714,0.4285714285714285,1,0,0.11538601104777571
17,0.7647058823529411,0.2352941176470588,0,1,0.6643333333333332
18,0.5555555555555556,0.4444444444444444,1,0,0.08924888999889
17,0.6470588235294118,0.3529411764705882,0,1,0.6146904761904762
23,0.391304347826087,0.6086956521739131,0,1,0.5538160173160173
20,0.65,0.35,0,0,0.4997936507936507
17,0.8823529411764706,0.1176470588235294,1,0,0.43633333333333324
22,0.4090909090909091,0.5909090909090909,0,0,0.39163511570129217
19,0.5789473684210527,0.4210526315789473,0,0,0.441838134088134
22,0.5909090909090909,0.4090909090909091,0,1,0.6273244043538161
19,0.631578947368421,0.3684210526315789,0,0,0.33790476190476193
20,0.5,0.5,0,1,0.7557261904761903
22,0.5909090909090909,0.4090909090909091,1,1,0.6273244043538161
24,0.5833333333333334,0.4166666666666667,0,1,0.7678571428571428
20,0.45,0.55,0,1,0.5123650793650794
21,0.6666666666666666,0.3333333333333333,0,1,0.5582142857142857
20,0.6,0.4,0,1,0.6487301587301587
20,0.4,0.6,0,0,0.09379545454545454
22,0.6363636363636364,0.3636363636363636,0,0,0.3280258001802118
25,0.68,0.32,0,1,0.5902777777777778
22,0.5454545454545454,0.4545454545454545,0,0,0.46893594546895806
25,0.52,0.48,0,1,0.8423253968253968
